createtime,lat,lon,country,tags
1806565,29.7629,-95.3832,United States,"woman,airlifted,hospital,after,serious,collision,near,exeter,devon"
1806566,30.2685909,-97.7361526,United States,"with,alglen,van,restoran,maju"
1806566,29.27595572,48.05098712,???? ??????,"amazing,best,friend,and,had,the,best,time,the,pittsburghopera,une"
1806566,44.5235792,-89.574563,United States,"amazing,life,changing,experience,comes,close,after,days,orlando,it,time"
1806566,47.6178865,-122.2002292,United States,"brutal,the,leaders,are,educated,why,not,take,action,elgeyo,marakwet,says,fgm"
1806566,33.8041667,-118.15805559999998,United States,"want,work,brooklyn,view,our,latest,opening,legal,allstatejobs,job,jobs,hiring,career,arc"
1806566,35.736709999999995,-77.9033298,United States,"fed,office,center,lead,consultant,plantation,retail,job,jobs,hiring,career,arc"
1806566,37.229,-121.759,United States,"interested,hospitality,job,near,columbia,heights,this,could,great,fit,hiring,career,arc"
1806567,12.9715987,77.5945627,????,"walking,keeps,thoughtful"
1806567,38.914003,121.614682,???????,"can,you,recommend,anyone,for,this,job,rehab,technician,patewood,greenville,south,carolina,healthcare"
1806567,51.14277778,0.89305556,United Kingdom,"im,largo,maryland,largo"
1806568,-36.8375,174.64027778,New Zealand,"this,nursing,job,might,great,fit,for,you,practice,nurse,lpn,joplin,hiring,career,arc"
1806569,40.7142243,-73.93207530000001,United States,"former,financial,adviser,accused,conning,hope,valley,customers,out,derbyshire"
1806569,13.731266,100.780312,?????????,"can,you,recommend,anyone,for,this,clerical,job,washington,hiring,career,arc"
1806569,32.710887,-117.160296,United States,"yall,started,wearing,the,fake,ones,now,they,done,cked,the,real,ones,and,then,got"
1806570,57.55055556,2.45861111,,"are,you,ready,vcell,day,positive,day,day,full"
1806570,51.676323,-3.542993,United Kingdom,"this,was,interesting,interview"
1806570,44.6119,-63.4733,Canada,"physician,sioux,falls,physician,department,veterans,affairs,veterans"
1806571,48.842778,2.435833,France,"see,our,latest,mahwah,job,and,click,apply,ecommerce,category,manager,dresses,retail,hiring"
1806571,14.56300061,121.03441992,Republika ng Pilipinas,"love,travel,stops,country,assistant,manager,training,retail,mooresville,retail,job,jobs"
